Name,Desc,Model used,Model Deployment,Input Data,Input Format,Input PII Flag,Input Data Retention,Output Data,Output Format,Output PII Flag,Output Data Retention,Trial for Public Flag,Whitelist Flag,Link
Age Estimator,Estimate your age based on selfie photo,MiVolo d1,On Prem,Selfie photo contain face,Image File,Yes,Deleted after process,"Gender, Age, Boundary Box",JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/Age_Estimator_GPU/version/0.0.1
Any CV Extractor,Extract all information from CV using Generative AI,Qwen 3 30B A3B,On Prem,CV document contain personal information,"pdf file, list of information that want to be extracted",Depend on content,Deleted after process,All information want to be extracted,JSON,Depend on content,Not Saved,Yes,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/anycv-extractor/version/1.0.0 
Check format soal for pijar platform,Check and fix format soal so it will fit to Pijar Platform Requirement,Qwen 3 30B A3B,On Prem,Word document contain question and key,docx file,No,Deleted after process,fixed word document ready to upload to pijar,docx file bin string,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/pijar-formatsoal-checker/version/1.0.0
DCS Traffic Chatbot,Chatbot Backend to support DCS Dashboard AI,Qwen 3 30B A3B,On Prem,Question from user regarding netw traffic,JSON,No,Deleted after process,Network information detail,JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/dcs-chatbot/version/1.0.0 
Face Embedding,Convert Face to vector for further processing,FaceNet,On Prem,Image contain face,Image File,Yes,Deleted after process,Vector of face feature,JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/Face_Embedding/version/0.0.2 
Large MultiModal,Extract information from image using generative AI,"Qwen 3 VL 8B, Nanonets 3B",On Prem,Image and question regarding the image,JSON,Depend on content,Deleted after process,Answer regarding question input,JSON,Depend on content,Not Saved,Yes,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/LargeMultimodalModel/version/0.0.2 
LKPP API,Check validity of product from LKPP list,"Qwen 3 30B A3B, Qwen 3 VL 8B",On Prem,"Image path, description product, categories",JSON,No,Deleted after process,"Flag for miss categories, miss description",JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/LKPP-API/version/0.0.1 
LLMSummarize,Summarize a sentence using Generative AI,Qwen 3 30B A3B,On Prem,Sentence that want to be summarized,JSON,No,Deleted after process,Sentence summarize after LLM ,JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/LLama3Summarize/version/0.0.4 
New Emporium API,Chatbot backend Insight generator for Emporium Dashboard,Qwen 3 30B A3B,On Prem,Question from user regarding Talent dem,JSON,No,Deleted after process,Answer regarding question input,JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/New_Emporium_AI/version/1.0.1 
Object Detection,Extract Common Object from an image,YOLO V9,On Prem,Image contain object,Image File,Depend on content,Deleted after process,Object category and its coordinat,JSON,No,Not Saved,No,Yes,https://www.apilogy.id/api/detail/telkom_ai_dag/name/Object_Detection/version/0.0.1 
