"ID","Scenario Name","Data Classification","Trigger","Impact","Likelihood","Detection Mechanism","Prevention Control","Incident Response"
"1","RAG Cross-User Leakage","Confidential / Restricted","Multi-tenant RAG system retrieves embeddings without filtering by user_id/tenant_id.","User A sees User B's HR records or financial statements.","HIGH","Audit logs show user_id accessing doc_id not belonging to their group.","Enforce RBAC at Storage; Query Filtering","Revoke tokens; Purge cache; Notify users"
"2","Model Memorization Leakage","Restricted (PII/Sensitive)","User prompts model with specific name/entity and model recalls training data.","Exposure of PII, internal code snippets, or API keys.","MEDIUM","Statistical Canary tests; Regex scanning on output.","Data Sanitization before training; Differential Privacy","Retrain/patch model; Blacklist phrases"
"3","Role Bypass (Jailbreak)","Internal / Confidential","User sends prompts to ignore instructions and adopt unrestricted persona.","AI performs unauthorized actions or reveals internal logic.","HIGH","Input analysis for semantic similarity to known jailbreak patterns.","Input Guardrails; System Prompt Hardening","Block session; Add pattern to blocklist"
"4","Prompt Extraction Attack","Internal (IP/Business Logic)","User asks to print system instructions verbatim.","Competitors steal prompt engineering; Exposure of backend API schema.","HIGH","Output length anomalies; specific keywords in output.","Separation of secrets; Sandwich Defense","Rotate API keys; Update prompt logic"
"5","Output Hallucination","Internal (Misinformation Risk)","User asks for data, AI invents realistic but wrong internal data.","Business decisions made on false data; Reputational damage.","MEDIUM","Grounding check (compare output vs retrieved chunks).","Strict RAG instructions; Citation Enforcement","Flag as low-confidence; User disclaimer"
"6","Training Data Reconstruction","Restricted","Attacker queries model to infer membership of specific data points.","Confirming individual data existence in private dataset.","LOW","High-frequency queries of similar semantic variance from single IP.","Rate Limiting; Output Noise","IP Ban; Legal/Forensic investigation"
"7","Log Exposure","Confidential / Restricted","App logs user prompts (PII) and responses to Datadog/Splunk in plain text.","DevOps engineers can read private conversations/passwords.","HIGH","Log scanning (DLP tools) finding PII patterns.","Log Redaction; Minimal Logging (Metadata only)","Purge log indices; Rotate credentials"
"8","Debug Mode Exposure","Internal (Infrastructure)","Production error returns full Stack Trace or internal states.","Exposure of file paths, library versions, and logic flow.","MEDIUM","Response status 500 contains keywords like Traceback.","Env Config (DEBUG=False); Generic Error Pages","Hotfix config; Audit logs"
"9","Indirect Prompt Injection","Confidential","AI summarizes content with hidden malicious instructions.","Data exfiltration; Phishing via AI.","MEDIUM","Outbound traffic analysis to unauthorized URLs.","Human-in-the-Loop for tools; Content Sanitization","Block domain; Revert actions"
"10","Plugin/Tool Data Leakage","Confidential","AI Agent sends full history to unnecessary plugins.","Third-party provider receives sensitive user context.","MEDIUM","Audit plugin payloads size and content.","Principle of Least Privilege; Approved Allowlist","Disable plugin; Legal review"
